track,ss,to,name
01,00:00:00.000,00:00:00.700,the-prelude_prelude_1
01,00:00:47.500,00:00:55.500,the-prelude_prelude_2
39,00:00:15.800,00:00:16.500,continue_prelude_1
33,00:01:36.200,00:01:37.400,chasing-the-black-caped-man_prelude_1
05,00:00:00.000,00:00:00.100,anxious-heart_prelude_1
05,00:01:38.200,00:01:43.400,anxious-heart_prelude_2
51,00:00:12.200,00:00:21.000,those-chosen-by-the-planet_prelude_2
71,00:01:10.000,00:01:16.000,weapon-raid_prelude_2
71,00:00:14.500,00:00:18.000,weapon-raid_prelude_3
86,00:01:29.500,00:01:34.000,birth-of-a-god_prelude_2
86,00:01:19.300,00:01:21.400,birth-of-a-god_prelude_3
13,00:00:55.000,00:01:13.901,flowers-blooming-in-the-church_aerith_1
13,00:00:09.000,00:00:19.000,flowers-blooming-in-the-church_aerith_2
07,00:00:00.000,00:00:03.000,barrets-theme_barret_1
41,00:00:00.000,00:00:04.000,mark-of-the-traitor_barret_1
30,00:00:04.000,00:00:06.900,waltz-de-chocobo_chocobo_1
32,00:00:06.800,00:00:08.800,cinco-de-chocobo_chocobo_1
58,00:00:03.000,00:00:04.900,fiddle-de-chocobo_chocobo_1
31,00:00:12.900,00:00:15.000,electric-de-chocobo_chocobo_1
49,00:00:07.500,00:00:14.000,descendant-of-shinobi_yuffie_1
56,00:00:20.000,00:00:26.000,stolen-materia_yuffie_1
06,00:00:47.900,00:00:52.500,tifas-theme_tifa_1
03,00:01:04.000,00:01:08.000,bombing-mission_bombing_mission_1
08,00:00:06.000,00:00:09.000,hurry_bombing_mission_1
12,00:00:00.000,00:00:04.000,fanfare_fanfare_1
59,00:00:00.000,00:00:03.700,a-great-success_fanfare_1
60,00:00:00.000,00:00:03.700,tango-of-tears_fanfare_1
16,00:00:16.500,00:00:21.700,oppressed-people_oppressed_people_1
36,00:00:01.700,00:00:06.000,its-hard-to-stand-on-two-feet-isnt-it_oppressed_people_1
36,00:01:07.400,00:01:18.500,its-hard-to-stand-on-two-feet-isnt-it_oppressed_people_2
80,00:00:07.900,00:00:17.000,if-you-open-your-heart_oppressed_people_2
46,00:01:02.000,00:01:06.600,cosmo-canyon_red_xiii_1
46,00:00:07.400,00:00:11.600,cosmo-canyon_red_xiii_2
48,00:00:00.000,00:00:04.000,great-warrior_red_xiii_1
22,00:00:07.400,00:00:10.000,red-xiiis-theme_red_xiii_2
02,00:00:10.000,00:00:14.000,opening_lifestream_1
02,00:00:40.000,00:00:48.000,opening_lifestream_2
47,00:00:09.000,00:00:15.000,lifestream_lifestream_1
47,00:00:44.000,00:00:53.000,lifestream_lifestream_2
53,00:00:00.000,00:00:11.000,cids-theme_cid_1
79,00:00:28.500,00:00:35.000,the-countdown-begins_cid_1
78,00:00:21.500,00:00:32.000,sending-a-dream-into-the-universe_cid_1
68,00:00:19.000,00:00:28.000,reunion_aerith_2
65,00:00:33.000,00:00:46.400,aeriths-theme_aerith_1
65,00:00:00.000,00:00:05.000,aeriths-theme_aerith_2
84,00:00:34.000,00:00:37.000,judgment-day_aerith_1
37,00:00:00.000,00:00:12.000,trail-of-blood_fighting_1
11,00:00:01.500,00:00:03.000,those-who-fight_fighting_1
11,00:00:16.000,00:00:19.000,those-who-fight_fighting_3
77,00:00:00.000,00:00:00.100,hurry-faster_fighting_1
77,00:00:00.000,00:00:00.100,hurry-faster_fighting_3
15,00:00:31.000,00:00:37.100,under-the-rotting-pizza_main_theme_1
15,00:00:11.000,00:00:13.100,under-the-rotting-pizza_fighting_1
15,00:00:09.000,00:00:11.100,under-the-rotting-pizza_fighting_2
21,00:00:01.700,00:00:03.500,those-who-fight-further_fighting_2
21,00:01:14.000,00:01:20.100,those-who-fight-further_fighting_3
09,00:00:02.500,00:00:04.100,lurking-in-the-darkness_fighting_2
14,00:00:16.000,00:00:20.000,turks-theme_fighting_2
10,00:00:15.600,00:00:22.000,shinra-company_fighting_3
10,00:01:21.000,00:01:25.400,shinra-company_fighting_4
70,00:00:28.800,00:00:37.000,shinra-army-wages-a-full--scale-attack_fighting_3
20,00:00:00.000,00:00:09.000,infiltrating-shinra-tower_fighting_3
04,00:00:49.000,00:00:55.100,mako-reactor_fighting_4
83,00:00:00.000,00:00:09.100,the-mako-cannon-is-fired_fighting_3
88,00:01:12.000,00:01:19.100,world-crisis_main_theme_1
88,00:00:37.800,00:00:41.100,world-crisis_tifa_1
88,00:00:10.000,00:00:17.000,world-crisis_aerith_2
88,00:02:46.500,00:02:52.000,world-crisis_cid_1
88,00:00:59.000,00:01:05.000,world-crisis_prelude_2
88,00:07:55.000,00:08:00.100,world-crisis_lifestream_1
89,00:00:00.000,00:00:00.100,staff-roll_main_theme_1
89,00:00:00.000,00:00:00.100,staff-roll_lifestream_2
25,00:00:00.000,00:00:06.100,main-theme_main_theme_1
72,00:00:14.000,00:00:18.100,highwind-takes-to-the-skies_main_theme_1
24,00:00:21.000,00:00:28.100,holding-my-thoughts-in-my-heart_main_theme_1
62,00:00:57.000,00:01:02.500,interrupted-by-fireworks_main_theme_1
54,00:00:23.000,00:00:26.400,steal-the-tiny-bronco_main_theme_1
28,00:00:00.000,00:00:07.100,that-day-five-years-ago_main_theme_1
69,00:00:00.000,00:00:09.100,who-am-i_main_theme_1
29,00:00:38.000,00:00:42.100,farm-boy_chocobo_1
87,00:00:00.000,00:00:00.100,one-winged-angel_prelude_2
